C4, 18.41, 10.48, 90.00, 0.1, C0805K
C5, 26.99, 12.38, 90.00, 18pf, C0805K
C7, 15.24, 13.34, 180.00, 0.1u, C0805K
C8, 39.37, 10.16, 180.00, 0.1u, C0805K
IC1, 13.02, 34.29, 180.00, 74HC595D, SO16
IC2, 35.88, 34.29, 180.00, 74HC595D, SO16
IC3, 58.74, 34.29, 180.00, 74HC595D, SO16
IC5, 81.28, 20.96, 270.00, 74HC595D, SO16
IC6, 81.60, 34.29, 180.00, 74HC595D, SO16
IC7, 81.28, 9.21, 270.00, 74HC595D, SO16
R1, 2.54, 42.86, 90.00, , R0805
R10, 28.26, 42.86, 90.00, , R0805
R11, 31.12, 42.86, 90.00, , R0805
R12, 33.97, 42.86, 90.00, , R0805
R13, 36.83, 42.86, 90.00, , R0805
R14, 39.69, 42.86, 90.00, , R0805
R15, 42.55, 42.86, 90.00, , R0805
R16, 45.40, 42.86, 90.00, , R0805
R17, 48.26, 42.86, 90.00, , R0805
R18, 51.12, 42.86, 90.00, , R0805
R19, 53.98, 42.86, 90.00, , R0805
R2, 5.40, 42.86, 90.00, , R0805
R20, 56.83, 42.86, 90.00, , R0805
R21, 59.69, 42.86, 90.00, , R0805
R22, 62.55, 42.86, 90.00, , R0805
R23, 65.41, 42.86, 90.00, , R0805
R24, 68.26, 42.86, 90.00, , R0805
R27, 18.41, 21.91, 90.00, 10k, R0805
R3, 8.26, 42.86, 90.00, , R0805
R4, 11.11, 42.86, 90.00, , R0805
R45, 26.67, 32.38, 270.00, 10k, R0805
R46, 23.81, 32.38, 270.00, 10k, R0805
R47, 20.96, 32.38, 270.00, 10k, R0805
R49, 71.12, 42.86, 90.00, , R0805
R5, 13.97, 42.86, 90.00, , R0805
R50, 73.98, 42.86, 90.00, , R0805
R51, 76.84, 42.86, 90.00, , R0805
R52, 79.69, 42.86, 90.00, , R0805
R53, 82.55, 42.86, 90.00, , R0805
R54, 85.41, 42.86, 90.00, , R0805
R55, 88.27, 42.86, 90.00, , R0805
R56, 91.12, 42.86, 90.00, , R0805
R6, 16.83, 42.86, 90.00, , R0805
R7, 19.69, 42.86, 90.00, , R0805
R8, 22.54, 42.86, 90.00, , R0805
R9, 25.40, 42.86, 90.00, , R0805
