Designator, Mid X, Mid Y, Layer, Rotation
IC4, 17.46, 10.79, 90.00, FT232RL, SSOP-28_5.3x10.2x0.65P
U1, 37.15, 8.26, 0.00, ATMEGA328P-AU, TQFP-32_7.0x7.0x0.8P
LED1, 2.54, 96.52, 0.00, , LED_0805
LED10, 28.26, 96.52, 0.00, , LED_0805
LED100, 11.11, 83.19, 0.00, , LED_0805
LED101, 13.97, 83.19, 0.00, , LED_0805
LED102, 16.83, 83.19, 0.00, , LED_0805
LED103, 19.69, 83.19, 0.00, , LED_0805
LED104, 22.54, 83.19, 0.00, , LED_0805
LED105, 25.40, 83.19, 0.00, , LED_0805
LED106, 28.26, 83.19, 0.00, , LED_0805
LED107, 31.12, 83.19, 0.00, , LED_0805
LED108, 33.97, 83.19, 0.00, , LED_0805
LED109, 36.83, 83.19, 0.00, , LED_0805
LED11, 31.12, 96.52, 0.00, , LED_0805
LED110, 39.69, 83.19, 0.00, , LED_0805
LED111, 42.55, 83.19, 0.00, , LED_0805
LED112, 45.40, 83.19, 0.00, , LED_0805
LED113, 48.26, 83.19, 0.00, , LED_0805
LED114, 51.12, 83.19, 0.00, , LED_0805
LED115, 53.98, 83.19, 0.00, , LED_0805
LED116, 56.83, 83.19, 0.00, , LED_0805
LED117, 59.69, 83.19, 0.00, , LED_0805
LED118, 62.55, 83.19, 0.00, , LED_0805
LED119, 65.41, 83.19, 0.00, , LED_0805
LED12, 33.97, 96.52, 0.00, , LED_0805
LED120, 68.26, 83.19, 0.00, , LED_0805
LED121, 71.12, 83.19, 0.00, , LED_0805
LED122, 73.98, 83.19, 0.00, , LED_0805
LED123, 76.84, 83.19, 0.00, , LED_0805
LED124, 79.69, 83.19, 0.00, , LED_0805
LED125, 82.55, 83.19, 0.00, , LED_0805
LED126, 85.41, 83.19, 0.00, , LED_0805
LED127, 88.27, 83.19, 0.00, , LED_0805
LED128, 91.12, 83.19, 0.00, , LED_0805
LED129, 2.54, 78.74, 0.00, , LED_0805
