Comment,Designator,Footprint,LCSC_Part_#
,IC4,TQFP-32_7.0x7.0x0.8P,C14877
,U1,SSOP-28_5.3x10.2x0.65P,C8690
,LED1,LED_0805,C84256
,LED2,LED_0805,C84256
,LED3,LED_0805,C84256
,LED4,LED_0805,C84256
,LED5,LED_0805,C84256
,LED6,LED_0805,C84256
,LED7,LED_0805,C84256
,LED8,LED_0805,C84256
,LED9,LED_0805,C84256
,LED10,LED_0805,C84256
,LED11,LED_0805,C84256
,LED12,LED_0805,C84256
,LED13,LED_0805,C84256
,LED14,LED_0805,C84256
,LED15,LED_0805,C84256
,LED16,LED_0805,C84256
,LED17,LED_0805,C84256
,LED18,LED_0805,C84256
,LED19,LED_0805,C84256
,LED20,LED_0805,C84256
,LED21,LED_0805,C84256
,LED22,LED_0805,C84256
,LED23,LED_0805,C84256
,LED24,LED_0805,C84256
,LED25,LED_0805,C84256
,LED26,LED_0805,C84256
,LED27,LED_0805,C84256
,LED28,LED_0805,C84256
,LED29,LED_0805,C84256
,LED30,LED_0805,C84256
,LED31,LED_0805,C84256
,LED32,LED_0805,C84256
,LED33,LED_0805,C84256
,LED34,LED_0805,C84256
,LED35,LED_0805,C84256
,LED36,LED_0805,C84256
,LED37,LED_0805,C84256
,LED38,LED_0805,C84256
,LED39,LED_0805,C84256
,LED40,LED_0805,C84256
,LED41,LED_0805,C84256
,LED42,LED_0805,C84256
,LED43,LED_0805,C84256
,LED44,LED_0805,C84256
,LED45,LED_0805,C84256
,LED46,LED_0805,C84256
,LED47,LED_0805,C84256
,LED48,LED_0805,C84256
,LED49,LED_0805,C84256
,LED50,LED_0805,C84256
,LED51,LED_0805,C84256
,LED52,LED_0805,C84256
,LED53,LED_0805,C84256
,LED54,LED_0805,C84256
,LED55,LED_0805,C84256
,LED56,LED_0805,C84256
,LED57,LED_0805,C84256
,LED58,LED_0805,C84256
,LED59,LED_0805,C84256
,LED60,LED_0805,C84256
,LED61,LED_0805,C84256
,LED62,LED_0805,C84256
,LED63,LED_0805,C84256
,LED64,LED_0805,C84256
,LED65,LED_0805,C84256
,LED66,LED_0805,C84256
,LED67,LED_0805,C84256
,LED68,LED_0805,C84256
,LED69,LED_0805,C84256
,LED70,LED_0805,C84256
,LED71,LED_0805,C84256
,LED72,LED_0805,C84256
,LED73,LED_0805,C84256
,LED74,LED_0805,C84256
,LED75,LED_0805,C84256
,LED76,LED_0805,C84256
,LED77,LED_0805,C84256
,LED78,LED_0805,C84256
,LED79,LED_0805,C84256
,LED80,LED_0805,C84256
,LED81,LED_0805,C84256
,LED82,LED_0805,C84256
,LED83,LED_0805,C84256
,LED84,LED_0805,C84256
,LED85,LED_0805,C84256
,LED86,LED_0805,C84256
,LED87,LED_0805,C84256
,LED88,LED_0805,C84256
